title,price,area,location,scraped_date,published_date,description,bedrooms,bathrooms
"Bán nhà mặt đường chính khu ĐTM Geleximco - Hà Đông 144m2 x 5T, mt 6m, giá 31 tỷ",31 tỷ,144 m²,"Dương Nội, Hà Đông",16/01/2026,,,,
"Phòng bán hàng chủ đầu tư dự án Thanh Hà Cienco 5 Mường Thanh, 100m2 giá từ 8 tỷ",Giá thỏa thuận,100 m²,"Kiến Hưng, Hà Đông",,,,,
Chính chủ cần tiền bán gấp căn Usilk 103 DT 166m2,"9,8 tỷ",166 m²,"La Khê, Hà Đông",,,,,
"Bán nhà Dương Nội 50m2 view hồ, ô tô đỗ cổng ngày đêm, 5 tầng dân xây. Giá 12.3 tỷ","12,3 tỷ",50 m²,"Dương Nội, Hà Đông",,,,,
"Bán gấp đất cực đẹp 63m2 MT 4.5m, nằm cạnh công viên cây xanh, sát KĐT Park City, ngõ rộng ô tô vào","9,1 tỷ",63 m²,"La Khê, Hà Đông",,,,,
"Bán biệt thự Văn Khê lô góc 3 thoáng DT 445.2m2, MT 58m x giá 68,9 tỷ","68,9 tỷ","445,2 m²","La Khê, Hà Đông",,,,,
Trả trước 2 tỷ nhà 3 tầng 35m2 ô tô vào xây độc lập ở phường Yên Nghĩa - Hà Đông. LH: 0869 285 ***,"3,95 tỷ",35 m²,"Yên Nghĩa, Hà Đông",,,,,
"Do chuyển công tác cần bán gấp căn 2PN+1 92m2 Grand Sunlake Văn Quán, Hà Đông, view thành phố.","7,5 tỷ",92 m²,"Văn Quán, Hà Đông",15/01/2026,,,,
"Chỉ với 8,6 tỷ cơ hội sở hữu ngay căn hộ 3 phòng ngủ tại Mulberry Lane LH ngay","8,6 tỷ","·116,3 m²","Mỗ Lao, Hà Đông",17/01/2026,,,,
"Bán gấp CC 3PN 2WC tại CT5 Văn Khê, 6,8 tỷ, 110.8m2, Hà Đông, HN","6,8 tỷ","·110,8 m²","La Khê, Hà Đông",17/01/2026,,,,
,,,,17/01/2026,,,,
,,,,17/01/2026,,,,
,,,,17/01/2026,,,,
,,,,17/01/2026,,,,
,,,,17/01/2026,,,,
,,,,17/01/2026,,,,
,,,,17/01/2026,,,,
,,,,17/01/2026,,,,
Quỹ căn đang bán giá rẻ nhất tại chung cư HPC Landmark - Hà Đông - Hà Nội,"9,6 tỷ",143 m²,"La Khê, Hà Đông",15/01/2026,,,,
"Bán gấp nhà 3T mặt Phố Cổ Hà Đông, đường ô tô tránh trục kinh doanh cực đỉnh Tô Hiệu-Lê Hồng Phong","12,7 tỷ",33 m²,"Văn Quán, Hà Đông",,,,,
CẦN BÁN CHUNG CƯ 2PN VIEW HỒ VĂN QUÁN.grand sun lake,"6,3 tỷ",70 m²,"Văn Quán, Hà Đông",,,,,
Cần bán lô góc biệt thự Dương Nội. Mặt đường Lê Quang Đạo. Cho thuê dòng tiền 70tr LH: 0983 983 ***,71 tỷ,203 m²,"Dương Nội, Hà Đông",,,,,
"ĐỘC QUYỀN QUỸ CĂN 2N, 3N GIÁ TỐT NHẤT DỰ ÁN GRAND SUNLAKE",Giá thỏa thuận,97 m²,"Văn Quán, Hà Đông",,,,,
"Không báo ảo. Căn 120m2 giá 9.1tỷ, căn 123m2 giá 8.75tỷ, căn 133m2 giá 10.5tỷ, căn 172m2 giá 13.5tỷ","8,75 tỷ",123 m²,"Mỗ Lao, Hà Đông",,,,,
